Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782762481,109,,Aggregated,587.000000,582.500000,5,6,6,7,9,13,44,48,70,95,150,49607,49012,5,6.472878775164165,1.262400000996422,150.80869999655988,109.90130425141614
1782762482,109,,Aggregated,579.600000,575.000000,5,6,6,7,9,13,44,48,70,95,150,50188,49589,5,6.480978698086692,1.262400000996422,150.80869999655988,109.51777317287001
1782762483,109,,Aggregated,571.100000,566.000000,5,6,6,7,9,13,44,48,71,95,150,50781,50175,5,6.494780727035228,1.262400000996422,150.80869999655988,109.13284496169827
1782762484,109,,Aggregated,573.500000,568.900000,5,6,6,7,9,13,44,48,71,95,150,51334,50723,5,6.513729717137825,1.262400000996422,150.80869999655988,109.93197490941677
1782762485,109,,Aggregated,569.100000,564.600000,5,6,6,7,9,13,44,48,71,95,150,51967,51353,5,6.514322785606569,1.262400000996422,150.80869999655988,110.09619566263206
1782762486,109,,Aggregated,570.100000,565.500000,5,6,6,7,9,13,44,48,71,95,150,52521,51904,5,6.512979760470483,1.262400000996422,150.80869999655988,109.77500428400069
1782762487,109,,Aggregated,569.600000,564.600000,5,6,6,7,9,13,44,48,71,95,150,53058,52438,5,6.506421583921992,1.262400000996422,150.80869999655988,109.9943269629462
1782762488,109,,Aggregated,578.500000,573.800000,5,6,6,7,9,13,44,48,71,95,150,53621,52999,5,6.493990015099467,1.262400000996422,150.80869999655988,109.66056209320975
1782762489,109,,Aggregated,575.400000,571.600000,5,6,6,7,9,13,44,48,71,95,150,54196,53573,5,6.491906245841838,1.262400000996422,150.80869999655988,109.37655915565725
1782762490,109,,Aggregated,571.000000,567.100000,5,6,6,7,9,13,44,48,71,95,150,54801,54172,5,6.500688890704837,1.262400000996422,150.80869999655988,109.07594751920585
1782762491,109,,Aggregated,568.300000,564.500000,5,6,6,7,9,13,44,48,71,95,150,55355,54720,5,6.497953711490324,1.262400000996422,150.80869999655988,109.89354168548459
1782762492,109,,Aggregated,574.100000,570.400000,5,6,6,7,9,13,44,48,71,95,150,55921,55283,5,6.484728061006817,1.262400000996422,150.80869999655988,110.08553137461776
1782762493,109,,Aggregated,577.700000,574.000000,5,6,6,7,9,13,44,48,71,95,150,56491,55851,5,6.477815282071909,1.262400000996422,150.80869999655988,109.78283266361014
1782762494,109,,Aggregated,571.400000,567.400000,5,6,6,7,9,13,44,48,70,95,150,57062,56421,5,6.473204288307869,1.262400000996422,150.80869999655988,109.45096561634713
1782762495,109,,Aggregated,571.600000,567.900000,5,6,6,7,9,13,44,48,70,95,150,57661,57017,5,6.463209281828481,1.262400000996422,150.80869999655988,109.17117288982155
1782762496,109,,Aggregated,567.800000,564.500000,5,6,6,7,9,13,44,48,71,97,150,58200,57552,5,6.48839724741665,1.262400000996422,150.80869999655988,109.43549828178695
1782762497,109,,Aggregated,569.600000,566.700000,5,6,6,7,9,13,44,48,71,97,150,58767,58113,5,6.482859070562074,1.262400000996422,150.80869999655988,109.62014395834397
1782762498,109,,Aggregated,565.400000,562.500000,5,6,6,7,9,13,44,48,70,97,150,59380,58721,5,6.473658411918215,1.262400000996422,150.80869999655988,110.33058268777366
1782762499,109,,Aggregated,566.100000,563.000000,5,6,6,7,9,13,44,48,70,97,150,59891,59231,5,6.4634125143973735,1.262400000996422,150.80869999655988,110.538444841462
1782762500,109,,Aggregated,567.500000,564.200000,5,6,6,7,9,13,44,48,70,95,150,60453,59788,5,6.4552142772036,1.262400000996422,150.80869999655988,110.27975452004036
1782762501,109,,Aggregated,572.900000,569.300000,5,6,6,7,9,13,44,48,70,95,150,61024,60358,5,6.456395450967356,1.262400000996422,150.80869999655988,109.96699659150498
1782762502,109,,Aggregated,565.000000,561.400000,5,6,6,7,9,13,44,48,70,95,150,61644,60975,5,6.449480974625107,1.262400000996422,150.80869999655988,110.11117059243398
1782762503,109,,Aggregated,563.600000,560.200000,5,6,6,7,9,13,44,48,70,95,150,62202,61524,5,6.44993015336774,1.262400000996422,150.80869999655988,110.28073052313431
1782762504,109,,Aggregated,566.200000,563.100000,5,6,6,7,9,13,44,48,70,95,150,62805,62120,5,6.448541554014506,1.262400000996422,150.80869999655988,111.00638484197118
1782762505,109,,Aggregated,569.400000,566.300000,5,6,6,7,9,13,44,48,70,95,150,63439,62753,5,6.440302359745224,1.262400000996422,150.80869999655988,110.67915635492363
1782762506,109,,Aggregated,570.800000,566.700000,5,6,6,7,9,13,44,48,70,95,150,64009,63319,5,6.4372212720064645,1.262400000996422,150.80869999655988,110.83683544501554
1782762507,109,,Aggregated,573.800000,569.400000,5,6,6,7,9,13,44,48,70,95,150,64625,63931,5,6.43650566653517,1.262400000996422,150.80869999655988,110.56176402321083
1782762508,109,,Aggregated,578.500000,574.500000,5,6,6,7,9,13,44,48,70,95,150,65169,64473,5,6.425726506463988,1.262400000996422,150.80869999655988,110.28034801822953
1782762509,109,,Aggregated,579.700000,575.400000,5,6,6,7,9,13,44,48,71,95,150,65759,65060,5,6.4244651013507745,1.262400000996422,150.80869999655988,110.08365394850895
1782762510,109,,Aggregated,582.500000,578.500000,5,6,6,7,9,13,44,48,71,95,150,66338,65633,5,6.431961403716878,1.262400000996422,150.80869999655988,109.79042177937231
1782762511,109,,Aggregated,577.600000,573.900000,5,6,6,7,9,13,44,48,71,95,150,66945,66235,5,6.420971652845626,1.262400000996422,150.80869999655988,110.82387034132496
1782762512,109,,Aggregated,584.200000,580.400000,5,6,6,7,9,13,44,48,71,95,150,67472,66756,5,6.425994633325715,1.262400000996422,150.80869999655988,111.58247865781361
1782762513,109,,Aggregated,585.400000,581.400000,5,6,6,7,9,13,44,48,70,95,150,68051,67333,5,6.422832171457119,1.262400000996422,150.80869999655988,111.33749687734199
1782762514,109,,Aggregated,588.100000,583.700000,5,6,6,7,9,13,44,48,71,130,150,68637,67909,5,6.449049079939333,1.262400000996422,150.80869999655988,111.89797048239288
1782762515,109,,Aggregated,580.900000,576.100000,5,6,6,7,9,13,44,48,71,130,150,69107,68376,5,6.49683027334086,1.262400000996422,150.80869999655988,112.0849552143777
1782762516,109,,Aggregated,581.500000,577.700000,5,6,6,7,9,14,44,48,71,130,150,69637,68901,5,6.5511127733779295,1.262400000996422,150.80869999655988,112.28733288338096
1782762517,109,,Aggregated,579.800000,575.400000,5,6,6,7,9,14,44,48,72,130,150,70199,69457,5,6.5895772218923785,1.262400000996422,150.80869999655988,112.02403168136298
1782762518,109,,Aggregated,560.900000,556.300000,5,6,6,7,10,14,44,48,72,130,150,70722,69976,5,6.599759565617595,1.262400000996422,150.80869999655988,111.76075337235937
1782762519,109,,Aggregated,558.100000,553.500000,5,6,6,7,10,14,44,48,71,130,150,71244,70494,5,6.618323148610224,1.262400000996422,150.80869999655988,112.01358710908988
1782762520,109,,Aggregated,553.900000,549.000000,5,6,7,7,10,14,44,48,72,130,150,71755,71001,5,6.66768438575244,1.262400000996422,150.80869999655988,112.65444916730542
1782762521,109,,Aggregated,549.300000,544.300000,5,6,7,7,10,14,44,48,72,130,150,72255,71500,5,6.702842196381884,1.262400000996422,150.80869999655988,112.4283163794893
1782762522,109,,Aggregated,542.400000,537.300000,5,6,7,7,10,15,44,48,72,130,150,72747,71989,5,6.747188259303962,1.262400000996422,150.80869999655988,112.65124335024124
1782762523,109,,Aggregated,536.500000,531.600000,5,6,7,7,10,15,45,48,73,130,150,73280,72513,5,6.788577233891965,1.262400000996422,150.80869999655988,113.23927401746725
1782762524,109,,Aggregated,528.000000,523.600000,5,6,7,7,10,15,45,48,73,130,150,73815,73044,5,6.815427428023415,1.262400000996422,150.80869999655988,113.41972498814604
1782762525,109,,Aggregated,523.000000,518.600000,5,6,7,7,10,15,45,48,72,130,150,74389,73617,5,6.817479663653423,1.262400000996422,150.80869999655988,113.13769508932772
1782762526,109,,Aggregated,516.400000,511.600000,5,6,7,7,10,15,45,48,72,130,150,74907,74128,5,6.833321259688554,1.262400000996422,150.80869999655988,113.68203238682634
1782762527,109,,Aggregated,512.400000,508.200000,5,6,7,7,10,15,45,48,73,130,150,75426,74640,5,6.872464994823406,1.262400000996422,150.80869999655988,113.5154853763954
1782762528,109,,Aggregated,526.100000,522.100000,5,6,7,8,10,16,45,48,73,130,150,75964,75174,5,6.908141256378469,1.262400000996422,150.80869999655988,113.29983939760939
1782762529,109,,Aggregated,522.700000,518.400000,5,6,7,8,11,16,45,49,73,130,150,76510,75720,5,6.920515382297255,1.262400000996422,150.80869999655988,113.03955038557051
1782762530,109,,Aggregated,520.000000,515.600000,5,6,7,8,11,16,45,49,74,130,150,76950,76155,5,6.979632964257016,1.262400000996422,150.80869999655988,112.8849902534113
